  4   3   6   5   8   7   1   2
  8   3   6   5   1   7   4   2
  6   3   8   5   1   7   4   2
  6   3   1   5   8   7   4   2
  4   3   6   5   8   7   2   1
  6   3   8   5   2   7   4   1
  8   3   6   5   1   7   2   4
  6   3   8   5   1   7   2   4
  6   3   1   5   8   7   2   4
  8   3   6   5   2   7   1   4
  6   3   8   5   2   7   1   4
  4   3   8   5   1   7   2   6
  4   3   8   5   2   7   1   6
  8   3   1   5   2   7   4   6
  6   3   8   5   7   2   4   1
  4   3   8   5   7   2   6   1
  8   3   6   5   7   2   1   4
  6   3   8   5   7   2   1   4
  8   3   1   5   7   2   6   4
  4   3   8   5   7   2   1   6
  8   3   1   5   7   2   4   6
  8   3   7   5   1   2   6   4
  8   3   7   5   1   2   4   6
  8   3   6   5   7   1   4   2
  4   3   8   5   7   1   6   2
  8   3   6   5   7   1   2   4
  4   3   8   5   7   1   2   6
  8   3   7   5   2   1   6   4
  8   3   7   5   2   1   4   6
  6   3   8   5   7   4   1   2
  6   3   8   5   7   4   2   1
  8   3   1   5   7   4   2   6
  8   3   7   5   2   4   1   6
  8   3   7   5   1   4   6   2
  8   3   7   5   1   4   2   6
  6   3   5   2   8   7   4   1
  6   3   5   2   8   7   1   4
  8   3   5   2   1   7   4   6
  8   3   5   2   7   1   6   4
  8   3   5   2   7   1   4   6
  8   3   5   2   7   4   1   6
  6   3   5   1   8   7   4   2
  6   3   5   1   8   7   2   4
  8   3   5   1   4   7   2   6
  8   3   5   1   2   7   4   6
  8   3   5   1   7   2   6   4
  8   3   5   1   7   2   4   6
  8   3   5   1   7   4   6   2
  8   3   5   1   7   4   2   6
